order_date,year,month,predicted_sales,predicted_profit
2015-01-01,2015,1,295563.0208333333,97887.11960875001
2015-02-01,2015,2,263259.77083333326,104890.39170875002
2015-03-01,2015,3,312079.27083333326,194378.15143375
2015-04-01,2015,4,299313.7708333333,145298.30152375
2015-05-01,2015,5,347387.52083333326,145782.51075874997
2015-06-01,2015,6,439886.52083333326,178683.16629875
2015-07-01,2015,7,310398.5208333332,141456.18245874997
2015-08-01,2015,8,440475.77083333314,160221.86898374994
2015-09-01,2015,9,473613.52083333326,249038.58990874997
2015-10-01,2015,10,406723.27083333314,235565.71065874991
2015-11-01,2015,11,502324.7708333332,264582.59875875
2015-12-01,2015,12,505614.2708333332,222806.13002874993
